r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
4.3,-126.412272,-126.409743,-190.901868,-190.889956,-355.426403,-355.528651,-313.580256,-313.642944,-207.024402,-207.278212,-145.088657,-144.001666,-123.985431,-124.022328,-94.139216,-94.896487
4.4,-129.089224,-129.058822,-169.708807,-169.867675,-332.540163,-332.518999,-325.973860,-326.157147,-212.160631,-212.687827,-153.321321,-152.312250,-130.570268,-130.505502,-99.641801,-100.421419
4.5,-140.439030,-140.394792,-165.071998,-165.208979,-308.280298,-308.266001,-334.211256,-334.538419,-217.367196,-217.950078,-162.466131,-161.674702,-137.011467,-137.171745,-105.001998,-105.829481
4.6,-162.489998,-162.421434,-174.603234,-174.606321,-288.909915,-288.920810,-339.233759,-339.349101,-223.315674,-224.093186,-171.936292,-171.216133,-143.740140,-143.876934,-110.541339,-111.405046
4.7,-194.695682,-194.621771,-194.456209,-194.435270,-276.141123,-276.016924,-336.904012,-337.213345,-229.731718,-230.428238,-182.403792,-181.839249,-149.814897,-149.817552,-116.229631,-116.954099
4.8,-234.712973,-234.649665,-220.868328,-220.832125,-269.477303,-269.298137,-325.332705,-325.626956,-237.662944,-238.380058,-192.537080,-192.219258,-156.478701,-156.588838,-121.308917,-122.131280
4.9,-279.697824,-279.622489,-250.257132,-250.179861,-266.944875,-266.776598,-305.446291,-305.594666,-246.249822,-247.273706,-203.109913,-203.056016,-163.056772,-162.972894,-127.002521,-127.485632
5,-323.570733,-323.539680,-278.589385,-278.528767,-264.615042,-264.378837,-281.152097,-281.298646,-257.288078,-258.097385,-214.078445,-214.134125,-169.780196,-169.643972,-133.245242,-133.229262
5.1,-363.257365,-363.202790,-302.182898,-302.061870,-261.237326,-261.020273,-255.616168,-255.767241,-267.662633,-268.125332,-224.531969,-224.910676,-176.036207,-176.013774,-139.467475,-139.133354
5.2,-393.837836,-393.827795,-319.009354,-318.902735,-254.774142,-254.642589,-232.704823,-232.861074,-273.781592,-273.953722,-235.033777,-235.495824,-182.660308,-182.509011,-145.727190,-144.903687
5.3,-413.374564,-413.437489,-328.551700,-328.413896,-247.711225,-247.584595,-213.718520,-213.873315,-271.537105,-271.378079,-244.721112,-245.434681,-189.267630,-188.976037,-151.873565,-150.990382
5.4,-421.594618,-421.665922,-332.218043,-332.158489,-240.748096,-240.711719,-200.182207,-200.148361,-263.340445,-262.843151,-253.949818,-254.320036,-196.251018,-196.199821,-158.714798,-157.744686
5.5,-419.551977,-419.620415,-331.656086,-331.618890,-235.414370,-235.391744,-192.401740,-192.400543,-251.253365,-250.675332,-261.963981,-262.157107,-202.600894,-202.362936,-165.109816,-164.076658
5.6,-408.327723,-408.338859,-327.905463,-327.891815,-232.662398,-232.755429,-190.082901,-190.157988,-238.784947,-238.128800,-267.865897,-267.828014,-209.633601,-209.340522,-171.326532,-170.511514
5.7,-390.273585,-390.275184,-322.596027,-322.522188,-233.877004,-233.987351,-192.276949,-192.208119,-227.218850,-226.664032,-268.572479,-268.494389,-217.129436,-216.679901,-177.473329,-177.119488
5.8,-367.836678,-367.839445,-316.940562,-316.893747,-238.324543,-238.541892,-197.928835,-197.829595,-217.764298,-217.427168,-263.225246,-263.110448,-224.598244,-224.401225,-183.767017,-183.504632
5.9,-343.756640,-343.777901,-311.050524,-311.000240,-245.256479,-245.484903,-207.071902,-206.872444,-211.782324,-211.424068,-252.196729,-252.049132,-232.390954,-231.939168,-190.379873,-190.442139
6,-320.507612,-320.506624,-305.361120,-305.339196,-253.873900,-254.189408,-217.407611,-217.288412,-208.230850,-208.158698,-238.682763,-238.567851,-240.235098,-240.054494,-196.913295,-197.415735
6.1,-299.503114,-299.513441,-299.533628,-299.571539,-263.205128,-263.400772,-228.064404,-228.024689,-207.635948,-207.640879,-224.694042,-224.659673,-247.731971,-247.853722,-203.819335,-204.463023
6.2,-281.469480,-281.456141,-292.922517,-293.022633,-271.361049,-271.649179,-239.017920,-238.883476,-208.889640,-208.819457,-211.779460,-211.824030,-251.092928,-250.970087,-211.329150,-211.884892
6.3,-267.950972,-267.942445,-286.458783,-286.529154,-278.252392,-278.517824,-248.761246,-248.653222,-211.196551,-211.273188,-201.854079,-201.866406,-248.219708,-248.227186,-218.317709,-219.123625
6.4,-258.754588,-258.763087,-279.218485,-279.303429,-283.510022,-283.594163,-257.242905,-257.145875,-214.441807,-214.494361,-195.008591,-195.019028,-239.734338,-239.850424,-226.146243,-227.158921
6.5,-253.688365,-253.701165,-272.048353,-272.033596,-286.138732,-286.095586,-263.837797,-263.931629,-218.374169,-218.476306,-192.129446,-192.120858,-229.131966,-229.166474,-233.756682,-234.852491
6.6,-252.299546,-252.280660,-266.225459,-266.220066,-285.985206,-285.971159,-268.817247,-268.908206,-222.508973,-222.556869,-191.355705,-191.267556,-217.601519,-217.694722,-240.567923,-241.061144
