r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
4.1,-43.120233,-17.262401,-96.870207,-9.287934,-87.817370,81.884187,-33.866524,161.579354,-60.527673,121.835053,-70.029950,90.672386,-48.772337,84.165554,-46.604424,60.560475
4.2,-35.144286,-10.615493,-75.861127,2.307058,-90.589820,79.296311,-44.756887,161.937612,-73.823520,120.483171,-71.839914,97.526997,-52.522384,88.295190,-49.739298,64.584189
4.3,-28.604490,-5.110124,-54.077590,18.367584,-88.991893,77.351011,-60.317098,155.582979,-87.110712,119.440102,-73.405607,104.753519,-56.279377,92.754821,-52.790829,69.135704
4.4,-23.563324,-0.759446,-34.003549,35.672686,-83.462590,74.834168,-79.348189,143.531395,-98.826566,120.244491,-74.704697,112.212827,-60.412083,96.889292,-55.792407,73.610931
4.5,-19.311873,3.172925,-17.736644,50.964847,-75.877815,70.903053,-98.972370,128.750906,-107.726892,123.342399,-75.322916,120.697468,-64.508039,101.673723,-58.411081,78.832843
4.6,-15.371485,7.016128,-6.385108,62.265168,-66.051389,69.076496,-116.227822,113.392924,-113.810795,128.888264,-75.994196,129.237025,-68.783700,106.722048,-60.993231,84.429358
4.7,-12.445960,10.084535,0.617751,69.836063,-54.400738,72.286507,-127.572828,99.924881,-117.050645,134.727441,-76.283654,138.693973,-72.848202,112.035803,-63.685434,90.045383
4.8,-9.341568,13.522785,4.360356,74.638076,-41.876609,80.504600,-130.844074,89.767116,-118.967409,138.697490,-77.156481,147.547105,-76.504577,117.719059,-66.724978,95.398450
4.9,-6.276400,17.057507,5.057571,76.760008,-30.506064,90.673178,-127.093632,83.158820,-120.705953,139.983435,-79.202103,155.931765,-80.399844,123.695050,-69.842366,100.879676
5,-2.731792,21.266163,4.201619,77.628754,-22.469312,99.434189,-119.190861,78.807269,-122.846026,139.037784,-82.506873,163.352538,-84.563902,129.374020,-72.878219,106.534601
5.1,0.525240,25.213052,1.829281,77.306998,-18.791104,105.034717,-108.855358,78.053676,-126.117869,135.978241,-87.066274,169.656531,-88.728066,135.033760,-76.238904,112.089474
5.2,3.947700,29.445435,-2.076979,75.549421,-18.496924,107.868436,-96.673549,82.826928,-127.461660,132.019904,-93.534397,172.463127,-93.373246,140.896099,-79.364456,117.844541
