K,Div,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,,CL,Div,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,,Mg,Div,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
,6.4,-14.08,-27.97,-41.90,-54.59,-68.78,-81.02,-93.05,-106.53,-119.08,-131.92,,,6.4,12.09,24.04,38.47,54.94,74.79,94.05,116.52,137.52,158.58,180.32,,,6.4,-43.39,-87.61,-133.80,-175.67,-216.51,-261.03,-300.90,-338.29,-375.18,-413.18
,6.5,-14.12,-27.75,-41.16,-54.26,-67.89,-80.08,-92.05,-106.06,-118.80,-132.26,,,6.5,11.68,24.73,39.94,58.30,79.92,100.17,123.95,145.54,167.40,188.96,,,6.5,-44.79,-91.02,-139.28,-182.77,-224.77,-269.83,-309.88,-347.79,-386.12,-425.21
,6.6,-14.88,-27.91,-41.66,-54.65,-68.26,-80.35,-93.05,-108.25,-121.11,-135.52,,,6.6,12.00,25.78,42.10,62.19,84.36,105.90,130.19,152.49,173.98,196.47,,,6.6,-45.83,-93.62,-144.21,-188.87,-232.42,-278.05,-318.48,-356.75,-395.70,-434.91
,6.7,-15.79,-28.45,-42.44,-56.09,-69.36,-82.36,-96.06,-111.66,-125.17,-140.53,,,6.7,12.48,26.85,43.87,65.58,87.31,109.64,134.16,157.06,178.56,200.89,,,6.7,-47.45,-96.76,-149.18,-196.02,-240.46,-286.74,-327.04,-365.42,-404.31,-442.94
,6.8,-16.53,-28.99,-43.59,-57.52,-70.96,-85.02,-100.09,-116.48,-130.47,-147.05,,,6.8,12.50,27.65,45.16,67.81,89.32,112.46,136.39,159.47,181.18,203.25,,,6.8,-48.04,-98.87,-152.85,-201.09,-246.74,-293.75,-333.90,-372.07,-409.98,-447.39
,6.9,-16.97,-29.60,-44.74,-59.39,-73.05,-88.10,-104.74,-121.14,-136.25,-154.30,,,6.9,12.70,28.43,46.67,69.43,90.77,114.32,137.51,160.37,182.07,203.58,,,6.9,-48.46,-100.49,-155.94,-205.34,-251.97,-299.42,-339.79,-377.09,-413.65,-448.51
,7,-16.98,-30.68,-46.23,-60.61,-75.26,-91.76,-109.15,-126.03,-142.76,-161.12,,,7,13.24,29.57,47.93,70.16,91.69,115.11,137.17,160.37,182.18,202.57,,,7,-49.08,-101.64,-158.21,-208.35,-254.96,-302.96,-343.34,-378.79,-413.69,-446.11
,7.1,-17.03,-31.14,-47.31,-61.98,-77.49,-95.18,-113.24,-130.82,-148.61,-167.61,,,7.1,13.59,30.12,48.50,70.33,91.52,114.56,136.48,159.32,180.32,200.10,,,7.1,-48.94,-102.19,-158.96,-209.91,-257.08,-305.06,-344.80,-378.60,-410.97,-441.19
,7.2,-16.35,-31.63,-48.19,-63.28,-79.44,-97.72,-116.73,-134.93,-153.54,-173.45,,,7.2,13.82,30.86,49.21,69.75,91.40,113.46,134.59,157.48,177.57,197.43,,,7.2,-49.01,-102.54,-159.14,-210.13,-257.39,-305.48,-344.64,-376.71,-406.76,-434.19
,7.3,-16.04,-32.11,-49.09,-64.87,-81.59,-100.28,-119.73,-138.83,-158.49,-178.34,,,7.3,14.14,31.22,49.41,69.47,90.59,112.62,132.93,154.59,174.62,194.27,,,7.3,-48.39,-101.72,-157.90,-208.72,-255.56,-303.90,-341.99,-372.42,-400.73,-425.29
,7.4,-16.13,-32.85,-49.59,-65.84,-83.50,-102.46,-121.88,-141.77,-162.28,-182.28,,,7.4,15.07,32.17,50.54,69.58,90.48,112.43,132.15,152.89,172.89,191.98,,,7.4,-47.10,-99.99,-156.04,-205.94,-252.45,-300.70,-337.27,-366.49,-393.59,-415.98
,7.5,-16.28,-33.76,-50.23,-67.34,-85.03,-104.53,-123.90,-144.19,-165.53,-185.18,,,7.5,15.19,32.66,50.61,69.18,89.48,110.89,130.43,150.42,170.67,189.10,,,7.5,-46.32,-98.93,-154.38,-203.30,-249.38,-297.05,-332.31,-361.06,-387.10,-408.56
,7.6,-16.17,-34.56,-50.43,-68.39,-85.84,-105.50,-125.06,-145.39,-167.18,-186.76,,,7.6,15.75,33.12,51.31,68.80,88.98,109.93,129.57,149.07,168.87,187.06,,,7.6,-45.59,-97.44,-151.80,-200.08,-245.99,-292.60,-327.48,-355.35,-380.82,-402.27
,7.7,-16.37,-34.87,-50.63,-68.86,-86.28,-105.89,-125.50,-146.35,-167.80,-187.24,,,7.7,15.86,32.91,51.08,68.22,88.37,108.73,128.25,147.42,167.28,185.18,,,7.7,-44.71,-96.16,-149.16,-197.13,-242.73,-288.08,-323.17,-350.88,-375.69,-397.50
,7.8,-16.65,-34.96,-50.71,-69.13,-86.45,-106.01,-125.50,-145.81,-167.55,-186.48,,,7.8,15.23,32.13,49.96,66.94,86.72,107.02,126.19,145.37,165.61,183.43,,,7.8,-44.72,-95.55,-147.69,-194.98,-240.23,-284.69,-319.72,-348.24,-373.02,-395.72
,7.9,-16.05,-34.25,-50.18,-68.14,-85.63,-104.78,-124.45,-144.13,-165.74,-184.57,,,7.9,15.29,32.27,49.48,66.71,86.31,105.90,125.43,144.14,164.49,182.95,,,7.9,-44.16,-95.07,-146.18,-193.05,-237.77,-281.73,-317.08,-346.46,-371.51,-395.05
,8,-15.69,-33.39,-49.97,-67.46,-84.87,-103.49,-123.33,-142.65,-163.69,-182.51,,,8,15.00,31.39,49.03,66.20,84.87,104.59,124.36,143.28,163.34,181.94,,,8,-44.61,-94.85,-145.92,-191.48,-236.07,-280.02,-315.59,-345.70,-371.82,-396.10
,8.1,-15.62,-32.68,-49.33,-66.47,-83.94,-102.39,-122.02,-140.78,-161.08,-180.35,,,8.1,14.33,30.75,48.05,65.28,83.65,103.23,123.10,142.58,162.54,181.65,,,8.1,-44.74,-94.43,-145.28,-190.81,-235.34,-279.10,-315.19,-346.21,-372.71,-397.75
,8.2,-15.45,-32.47,-48.59,-65.52,-82.68,-101.00,-120.35,-138.76,-158.45,-177.71,,,8.2,14.10,29.72,46.89,64.48,83.06,102.15,121.78,142.05,161.98,181.33,,,8.2,-44.86,-93.98,-145.09,-190.11,-235.32,-279.16,-315.49,-347.50,-374.38,-400.56
,8.3,-15.69,-32.55,-48.41,-65.29,-82.28,-100.18,-119.02,-137.37,-156.55,-176.29,,,8.3,14.01,29.52,46.27,64.18,82.49,101.50,121.80,142.09,162.61,182.01,,,8.3,-44.95,-93.95,-145.22,-190.38,-235.31,-280.09,-316.80,-349.24,-376.83,-403.79
,8.4,-15.79,-32.15,-47.88,-64.33,-81.72,-99.26,-117.62,-136.12,-154.83,-174.25,,,8.4,13.88,29.31,45.47,63.73,81.80,100.75,121.60,141.64,162.38,182.44,,,8.4,-45.11,-93.86,-145.57,-190.90,-236.06,-280.66,-318.21,-351.49,-379.25,-406.72
,8.5,-16.55,-32.39,-48.11,-64.34,-81.86,-98.68,-117.04,-135.54,-153.72,-173.39,,,8.5,13.82,28.50,44.97,63.53,81.78,100.59,121.60,141.99,162.54,182.86,,,8.5,-45.05,-93.99,-145.96,-191.63,-237.02,-282.14,-320.09,-353.70,-381.83,-410.16
,8.6,-16.16,-31.65,-47.19,-63.06,-81.06,-97.58,-115.14,-133.94,-152.07,-171.54,,,8.6,13.77,28.62,45.04,63.53,82.06,100.58,122.51,142.27,162.74,183.31,,,8.6,-44.87,-94.15,-146.20,-192.14,-237.48,-283.31,-321.78,-355.48,-384.25,-413.17
,8.7,-16.87,-31.50,-47.51,-62.72,-81.25,-97.35,-115.04,-133.90,-151.73,-171.53,,,8.7,13.49,28.30,44.73,63.36,82.19,100.82,122.39,142.20,162.78,183.49,,,8.7,-45.09,-94.76,-146.92,-193.52,-239.06,-285.15,-323.42,-357.30,-386.91,-416.01
