system,ion,q_label,charge_e,r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens,max_o_distance_raw
3_Mg,Mg,q0.0,0.0000000000,11.200000,10.905920255863,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.300000,11.515947471721,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.400000,11.788468718405,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.500000,12.087228139746,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.600000,12.030136058314,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.700000,12.308604402301,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.800000,12.258894716338,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.900000,11.797996735962,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.000000,11.668933097573,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.100000,11.449518500301,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.200000,10.941782337933,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.300000,10.480038187451,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.400000,10.509347623603,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.500000,10.495723514200,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.600000,10.218449319504,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.700000,10.081230241646,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.800000,10.056333423067,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,12.900000,9.842244059618,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.000000,9.524456525750,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.100000,9.156215867780,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.200000,8.882921065317,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.300000,8.670217744965,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.400000,8.483311776014,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.500000,8.389200344220,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.600000,8.200312463418,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.700000,8.309103243676,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.800000,8.543276973435,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,13.900000,8.750692993832,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.000000,9.079620830417,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.100000,8.907419546257,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.200000,9.579013831434,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.300000,10.804395007018,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.400000,11.840197424706,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.500000,13.017704402081,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.600000,14.453794706183,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.700000,16.074556662766,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.800000,17.318843372003,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,14.900000,18.058758340004,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,15.000000,18.397888222016,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.2,0.2000000000,0.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.200000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.300000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.400000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.500000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.600000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.700000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.800000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,0.900000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.200000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.300000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.400000,0.000000000000,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.500000,0.005571251818,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.600000,0.060426175920,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.700000,0.307162790921,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.800000,1.233652753226,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,1.900000,4.058063318175,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.000000,10.052430556058,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.100000,17.661293305435,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.200000,15.999424531033,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.300000,-0.970963730425,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.400000,-24.193634687687,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.500000,-46.322870183773,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.600000,-62.204835998909,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.700000,-71.786797156493,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.800000,-75.347001487998,100000,1.0,0,3355,3354,1118,20.387769
3_Mg,Mg,q0.2,0.2000000000,2.900000,-74.324425369609,100000,1.0,0,3355,3354,1118,20.387769
