K,Div,0,0.5,1,,CL,Div,0,-0.5,-1,,MG,Div,0,1,2
,12.2,-0.005,-0.051,-0.192,,,12.2,-0.058,-0.058,-0.089,,,12.2,-0.186,0.350,0.138
,12.3,-0.133,-0.164,0.180,,,12.3,-0.158,-0.061,-0.095,,,12.3,-0.089,0.110,0.050
,12.4,-0.024,-0.191,0.127,,,12.4,-0.170,-0.037,-0.074,,,12.4,-0.010,-0.074,0.039
,12.5,-0.286,-0.033,0.028,,,12.5,-0.145,-0.085,-0.003,,,12.5,-0.027,-0.034,-0.097
,12.6,-0.087,-0.197,0.089,,,12.6,-0.243,-0.155,0.033,,,12.6,-0.100,-0.224,-0.086
,12.7,-0.057,-0.216,-0.068,,,12.7,-0.196,-0.174,0.007,,,12.7,-0.031,-0.226,-0.238
,12.8,-0.087,0.094,-0.059,,,12.8,-0.227,-0.276,-0.097,,,12.8,-0.034,-0.362,-0.339
,12.9,0.003,0.129,-0.053,,,12.9,-0.242,-0.275,0.116,,,12.9,-0.008,-0.222,-0.223
,13,-0.130,-0.133,0.038,,,13,-0.081,-0.069,0.068,,,13,-0.189,-0.328,-0.192
,13.1,-0.028,0.034,-0.174,,,13.1,0.020,-0.168,-0.032,,,13.1,-0.112,-0.217,-0.194
,13.2,-0.088,-0.059,-0.086,,,13.2,-0.026,-0.153,-0.032,,,13.2,-0.094,-0.119,-0.166
,13.3,-0.038,0.057,-0.082,,,13.3,-0.071,0.086,-0.273,,,13.3,-0.104,-0.286,-0.121
,13.4,-0.156,0.072,-0.120,,,13.4,0.018,-0.019,-0.243,,,13.4,-0.071,-0.170,-0.137
,13.5,-0.080,-0.021,-0.079,,,13.5,-0.115,0.033,-0.121,,,13.5,-0.047,-0.018,-0.043
,13.6,-0.060,-0.032,-0.141,,,13.6,-0.046,-0.094,-0.137,,,13.6,-0.039,-0.066,-0.034
,13.7,0.191,0.031,-0.028,,,13.7,0.108,0.045,-0.014,,,13.7,0.111,-0.019,-0.168
,13.8,0.110,0.198,0.125,,,13.8,0.121,0.115,0.004,,,13.8,0.014,0.049,0.209
,13.9,0.073,0.148,0.047,,,13.9,0.033,-0.034,-0.119,,,13.9,0.119,0.307,0.375
,14,0.246,0.274,0.375,,,14,0.399,0.288,0.353,,,14,0.121,0.274,0.286
,14.1,0.271,0.239,0.215,,,14.1,0.160,0.077,0.462,,,14.1,0.027,0.437,0.307
,14.2,0.268,0.351,0.475,,,14.2,0.394,0.278,0.422,,,14.2,0.411,0.464,0.303
,14.3,0.345,0.207,0.325,,,14.3,0.547,0.530,0.350,,,14.3,0.465,0.537,0.207
,14.4,0.384,0.338,0.655,,,14.4,0.482,0.505,0.591,,,14.4,0.529,0.565,0.431
,14.5,0.499,0.480,0.583,,,14.5,0.410,0.611,0.630,,,14.5,0.654,0.747,0.306
,14.6,0.636,0.263,0.241,,,14.6,0.440,0.386,0.477,,,14.6,0.584,0.576,0.536
,14.7,0.554,0.415,0.233,,,14.7,0.338,0.496,0.416,,,14.7,0.632,0.372,0.508
,14.8,0.371,0.173,0.334,,,14.8,0.406,0.458,0.343,,,14.8,0.437,0.553,0.394
,14.9,0.302,0.270,0.215,,,14.9,0.398,0.239,0.237,,,14.9,0.306,-0.024,0.385
,15,0.199,-0.006,0.067,,,15,0.090,0.148,0.100,,,15,0.098,-0.134,0.229
