r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
11.2,-309.478976,-309.556808,-290.934246,-290.892609,-274.995438,-274.918886,-257.045795,-256.881690,-238.711756,-238.850687,-228.907194,-228.727975,-223.968111,-224.125963,-217.330792,-217.085765
11.3,-310.522550,-310.611148,-291.468267,-291.422025,-274.815841,-274.729534,-256.925309,-256.849803,-238.586306,-238.677855,-228.439877,-228.383392,-222.578428,-222.687067,-217.332050,-216.716198
11.4,-311.797848,-311.873599,-292.077898,-292.040893,-274.589742,-274.540323,-256.831947,-256.613379,-238.881302,-238.949415,-228.277802,-228.158255,-221.582147,-221.534925,-216.657447,-215.966725
11.5,-312.647608,-312.695046,-292.677565,-292.526160,-274.551936,-274.555082,-256.366565,-256.059090,-239.145392,-239.057357,-227.891948,-227.952107,-220.615015,-220.414956,-216.790680,-216.191074
11.6,-314.054131,-314.084293,-293.263400,-293.071631,-274.574572,-274.703534,-256.765756,-256.559888,-239.389445,-239.235055,-227.784664,-227.950569,-220.119766,-219.936647,-216.547838,-216.099203
11.7,-315.057294,-315.054636,-293.774728,-293.572105,-275.506260,-275.652117,-256.574051,-256.397875,-239.426850,-239.284852,-227.953401,-228.243812,-219.844470,-219.659547,-215.964817,-215.573916
11.8,-315.611999,-315.589909,-294.419319,-294.225515,-275.765265,-275.901004,-256.327491,-256.302241,-239.316147,-239.279702,-228.814237,-228.978389,-219.788828,-219.563921,-215.513671,-215.216528
11.9,-315.399824,-315.353175,-294.216521,-294.076333,-275.832609,-276.003403,-256.314898,-256.395803,-239.332096,-239.337888,-228.808186,-228.862318,-219.873891,-219.647492,-214.914296,-214.757091
12,-315.166309,-315.103624,-294.541863,-294.453412,-276.305683,-276.414864,-256.073851,-256.173930,-238.837052,-238.922133,-229.278694,-229.226155,-219.712237,-219.570223,-214.903150,-214.864357
12.1,-314.694566,-314.625524,-294.413468,-294.370067,-276.596758,-276.648104,-255.916748,-256.110204,-239.371489,-239.333024,-229.062971,-229.146882,-219.733364,-219.623023,-215.345351,-215.479539
12.2,-313.453224,-313.394633,-294.414400,-294.377772,-276.762909,-276.807644,-255.662445,-255.950076,-239.490860,-239.475317,-229.621936,-229.624748,-220.323211,-220.179607,-215.142520,-215.547981
12.3,-312.711793,-312.618999,-294.607780,-294.595005,-276.690797,-276.706711,-255.690527,-256.086818,-239.298637,-239.382369,-229.866648,-229.831209,-220.882712,-220.608320,-214.878934,-215.543465
12.4,-312.029598,-311.932445,-294.336466,-294.334797,-275.851089,-275.865278,-255.583458,-255.856945,-238.903822,-239.110798,-229.296349,-229.274806,-221.876946,-221.525420,-215.119287,-215.776228
12.5,-311.837777,-311.755056,-294.382275,-294.422198,-276.012459,-275.948003,-255.294364,-255.519683,-238.946091,-239.107457,-229.461471,-229.373054,-221.881378,-221.599713,-215.583224,-216.363306
12.6,-311.510542,-311.459594,-294.039278,-294.100610,-275.731029,-275.667266,-255.189812,-255.342834,-238.703046,-238.807488,-229.705925,-229.520839,-222.076647,-222.017858,-215.529626,-216.121673
12.7,-310.714046,-310.679260,-293.860133,-293.912401,-275.205833,-275.169016,-255.471731,-255.486498,-238.704780,-238.709895,-230.067811,-229.900551,-221.990099,-222.085799,-216.075795,-216.678827
12.8,-310.468855,-310.462016,-293.670170,-293.726340,-274.643209,-274.564181,-255.513047,-255.481299,-239.589018,-239.421066,-229.320027,-229.221252,-221.747407,-221.738162,-216.054039,-216.371113
12.9,-310.411748,-310.415455,-293.095361,-293.109600,-274.229944,-274.043707,-255.751780,-255.622548,-239.844304,-239.639302,-228.668686,-228.596084,-221.624700,-221.573881,-215.822804,-216.071006
13,-310.213640,-310.237606,-292.033383,-292.055084,-274.284977,-274.090399,-255.958465,-255.895606,-240.629222,-240.485057,-228.025687,-228.092653,-221.588289,-221.503639,-215.579107,-215.699949
13.1,-309.692724,-309.738122,-291.271264,-291.266425,-274.403968,-274.272727,-255.817518,-255.745867,-240.655944,-240.499344,-228.161830,-228.178555,-221.867235,-221.872741,-215.137048,-215.346457
