r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
8.7,16.337895,16.338983,13.051512,13.057202,8.457237,8.493279,4.537093,4.584107,8.099499,8.084075,13.837123,13.512302,14.747028,14.879080,10.597613,10.551908
8.8,16.393212,16.397240,13.887144,13.920606,9.318951,9.342690,5.771269,5.926059,7.210686,7.297479,12.971089,12.673657,15.050233,15.064860,12.172514,11.952250
8.9,15.765457,15.762629,14.442850,14.447661,10.580674,10.555781,6.820466,7.031859,6.146364,6.294488,11.813811,11.556079,15.104867,15.029646,13.366484,13.064665
9,15.321607,15.332902,14.797039,14.780962,11.633903,11.635383,8.083080,8.350123,5.231354,5.476196,10.249177,10.011905,15.111207,14.933036,14.197504,13.764638
9.1,14.801518,14.800334,14.985539,14.924849,12.365765,12.410207,8.601207,8.850444,4.867800,5.034407,9.007076,8.676179,14.519830,14.192221,15.309884,15.018767
9.2,13.818117,13.810578,14.353225,14.331090,13.023038,13.099255,8.969457,9.199232,4.824976,4.939800,7.695822,7.482994,13.968754,13.576750,16.192757,15.951296
9.3,13.003452,12.998070,14.302083,14.255390,13.016036,13.066046,9.767746,9.891559,5.115432,5.193910,6.900484,6.726653,12.963982,12.373456,16.235449,16.005326
9.4,11.599237,11.586357,13.564601,13.543487,12.834563,12.820792,9.920498,9.989115,5.172021,5.379230,6.601003,6.495907,11.558799,11.032686,15.832545,15.710128
9.5,10.628057,10.626312,12.849052,12.854101,12.829743,12.836450,10.521165,10.622821,5.802993,6.100826,6.001353,5.933970,10.591121,10.250952,15.082370,15.013835
9.6,9.869801,9.866549,11.705483,11.697671,12.632865,12.628888,10.775972,10.856028,6.039809,6.340835,5.769572,5.814835,9.263041,9.178499,14.209599,14.197624
9.7,9.176645,9.177140,11.001597,11.014181,11.933404,11.924165,10.557283,10.578945,6.698984,6.995191,5.723627,5.853096,8.281365,8.304452,12.961777,12.922209
9.8,8.319715,8.321236,10.107883,10.128448,10.926054,10.886705,9.957999,9.839373,7.522031,7.736791,5.874195,5.983881,7.389107,7.425519,11.733698,11.964627
9.9,7.939275,7.956355,9.170122,9.226367,10.079684,10.041562,10.170455,10.020952,8.355411,8.532328,6.206657,6.338285,6.511467,6.651234,10.727599,10.943161
10,7.495294,7.502304,8.483032,8.518702,9.966473,9.878353,10.116144,9.977988,9.137284,9.182517,6.569338,6.601560,5.666473,5.812131,9.311441,9.572194
10.1,7.208878,7.213821,8.031723,8.080156,9.220530,9.139796,9.779909,9.642524,9.722093,9.784311,6.788954,6.858448,5.532685,5.570993,8.014662,8.176826
