r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
12.7,9.176077,9.159985,8.948773,8.968923,9.373690,9.224841,9.287572,8.908528,9.078550,8.557883,8.875195,8.397156,8.708109,8.398356,9.713333,9.524781
12.8,8.218566,8.200160,8.618526,8.646332,9.161630,9.041586,8.947349,8.513218,8.839625,8.359176,8.815285,8.280389,8.585242,8.200185,9.684668,9.378973
12.9,7.320548,7.308035,8.197343,8.248917,9.004315,8.962735,8.620060,8.186468,8.440025,7.960807,8.335607,7.780875,8.372942,7.962887,9.119113,8.684338
13,7.049618,7.044615,7.831668,7.906023,8.688082,8.654160,8.483367,8.044819,8.432856,7.847036,8.204448,7.652802,8.102536,7.544482,8.646377,8.145501
13.1,6.676279,6.666139,7.598679,7.664347,8.584909,8.525958,7.988038,7.527496,8.042429,7.541417,8.015814,7.521410,8.019765,7.421496,8.246294,7.732305
13.2,6.313402,6.284807,7.202822,7.273021,8.216045,8.151168,7.717964,7.209940,8.128566,7.536582,7.725506,7.299677,7.718558,7.016003,7.657572,7.111230
13.3,6.095080,6.038785,7.233644,7.266233,7.523875,7.397677,7.213573,6.772251,8.007518,7.398526,7.700634,7.259537,7.672345,6.948567,7.531380,6.892946
13.4,6.106412,6.044028,7.144104,7.131167,7.091245,7.010174,7.278471,6.817224,7.932988,7.384708,7.398384,6.928714,7.404548,6.646500,7.091615,6.442364
13.5,6.182448,6.092476,7.018122,6.986479,6.561140,6.421618,7.222886,6.784674,7.854124,7.314115,7.589411,7.052656,7.083938,6.311872,6.925867,6.119067
13.6,6.447054,6.354022,7.034084,6.972699,6.481304,6.309635,7.103282,6.681404,7.478747,7.068779,6.794809,6.244480,6.950740,6.205451,7.117393,6.329378
13.7,6.670844,6.572182,6.792182,6.697604,6.171560,5.975677,7.045916,6.617933,7.163041,6.818239,6.766071,6.168899,7.256904,6.573631,7.368808,6.624144
13.8,7.185659,7.102345,6.870402,6.745367,6.060611,5.836313,6.899615,6.485159,7.267622,6.936358,6.633315,6.023252,7.561681,6.854154,7.477368,6.809092
13.9,7.688762,7.614400,6.759971,6.610869,6.280759,6.014091,7.122543,6.731099,7.242478,6.939513,6.837375,6.242228,8.146454,7.514040,7.600117,6.906108
